"file","owner","exports"
"src/app/(dashboard)/admin/residences/actions.ts","residences","approveResidenceAction ; reactivateResidenceAction ; rejectResidenceAction ; suspendResidenceAction"
"src/app/(dashboard)/admin/users/actions.ts","admin-accounts / clients / partners","createAdminAccountAction ; reactivateAdminAccountAction ; resetAdminPasswordAction ; suspendAdminAccountAction"
"src/app/(dashboard)/admin/verifications/actions.ts","identity","rejectPartnerIdentityAction ; verifyPartnerIdentityAction"
"src/app/(dashboard)/partenaire/reservations/actions.ts","residences","cancelPartnerResidenceReservationAction ; updatePartnerResidenceReservationAction"
"src/app/(dashboard)/partenaire/residences/actions.ts","residences","createResidenceAction ; createResidenceUnavailablePeriodAction ; deleteResidenceUnavailablePeriodAction ; geocodeResidenceAddressAction ; publishResidenceAction ; updateResidenceAction ; withdrawResidenceAction"
"src/app/(dashboard)/partenaire/verification/actions.ts","identity","saveIdentityDraftAction ; submitIdentityVerificationAction"
"src/app/(dashboard)/restaurateur/livreurs/actions.ts","deliveries","confirmDriverCompensationPaymentAction ; createDriverAction ; deactivateDriverAction ; remitDriverCashAction ; resetDriverCredentialsAction ; updateDriverCompensationAction"
"src/app/api/admin/identity/documents/[id]/route.ts","identity","GET ; runtime"
"src/app/api/admin/restaurants/[id]/route.ts","restaurants","PATCH"
"src/app/api/admin/restaurants/route.ts","restaurants","GET"
"src/app/api/auth/login/route.ts","auth / partners / clients / deliveries","POST"
"src/app/api/auth/logout/route.ts","auth / partners / clients / deliveries","POST"
"src/app/api/auth/register/route.ts","auth / partners / clients / deliveries","POST"
"src/app/api/commandes/[id]/statut/route.ts","orders","PATCH"
"src/app/api/commandes/stream/route.ts","orders","GET ; dynamic"
"src/app/api/cron/subscriptions/route.ts","subscriptions / quotas","GET"
"src/app/api/geo/route.ts","service-markets","GET"
"src/app/api/health/route.ts","infrastructure","GET"
"src/app/api/media/upload/route.ts","media","POST ; runtime"
"src/app/api/notifications/count/route.ts","notifications","GET"
"src/app/api/notifications/route.ts","notifications","GET ; PATCH"
"src/app/api/partner/identity/documents/[id]/route.ts","identity","GET ; runtime"
"src/app/api/partner/identity/documents/route.ts","identity","GET ; POST ; runtime"
"src/app/api/payments/paystack/callback/route.ts","transactions","GET ; runtime"
"src/app/api/push/web/subscribe/route.ts","notifications","DELETE ; POST"
"src/app/api/queues/identity-document-scan/route.ts","identity","POST ; maxDuration ; runtime"
"src/app/api/restaurants/[id]/route.ts","restaurants","PATCH"
"src/app/api/restaurateur/categories/route.ts","menu","GET"
"src/app/api/restaurateur/plats/route.ts","menu","GET ; POST"
"src/app/api/v1/auth/login/route.ts","auth / partners / clients / deliveries","POST"
"src/app/api/v1/auth/logout/route.ts","auth / partners / clients / deliveries","POST"
"src/app/api/v1/auth/refresh/route.ts","auth / partners / clients / deliveries","POST"
