"file","owner","kind"
"scripts/backup-block6.ts","opérations / migration","script opérationnel"
"scripts/e2e/api-matrix-test.mjs","opérations / migration","script opérationnel"
"scripts/e2e/browser-journeys.mjs","opérations / migration","script opérationnel"
"scripts/e2e/debug-client-login.mjs","opérations / migration","script opérationnel"
"scripts/e2e/debug-panier.mjs","opérations / migration","script opérationnel"
"scripts/export-openapi-v1.ts","opérations / migration","script opérationnel"
"scripts/generate-app-db-baseline.ts","opérations / migration","script opérationnel"
"scripts/geo/backfill-restaurant-markets.ts","service-markets / opérations","script opérationnel"
"scripts/geo/fetch-osm-relations.ts","service-markets / opérations","script opérationnel"
"scripts/geo/import-boundaries.ts","service-markets / opérations","script opérationnel"
"scripts/geo/validate-boundaries.ts","service-markets / opérations","script opérationnel"
"scripts/migrate-cloudinary-media.ts","opérations / migration","script opérationnel"
"scripts/migrate-run.ts","opérations / migration","script opérationnel"
"scripts/security/check-seeded-admin.ts","infrastructure sécurité / opérations","script opérationnel"
"scripts/security/check-vps-env.mjs","infrastructure sécurité / opérations","script opérationnel"
"scripts/security/clamav-probe.mjs","infrastructure sécurité / opérations","script opérationnel"
"scripts/security/configure-admin-totp-secret.mjs","infrastructure sécurité / opérations","script opérationnel"
"scripts/security/create-clamav-sandbox-snapshot.mjs","infrastructure sécurité / opérations","script opérationnel"
"scripts/security/csp-browser-check.mjs","infrastructure sécurité / opérations","script opérationnel"
"scripts/security/generate-vps-env.mjs","infrastructure sécurité / opérations","script opérationnel"
"scripts/security/grant-runtime-db-role.ts","infrastructure sécurité / opérations","script opérationnel"
"scripts/security/inspect-runtime-db.ts","infrastructure sécurité / opérations","script opérationnel"
"scripts/security/kyc-scan-worker.mjs","infrastructure sécurité / opérations","script opérationnel"
"scripts/security/provision-runtime-db-role.ts","infrastructure sécurité / opérations","script opérationnel"
"scripts/security/reset-admin-password.ts","infrastructure sécurité / opérations","script opérationnel"
"scripts/security/sync-vercel-security-env.mjs","infrastructure sécurité / opérations","script opérationnel"
"scripts/security/verify-container-secrets.mjs","infrastructure sécurité / opérations","script opérationnel"
"scripts/verify-block6-db.test.ts","opérations / migration","script opérationnel"
"scripts/verify-block6-db.ts","opérations / migration","script opérationnel"
"scripts/verify-block6-service.test.ts","opérations / migration","script opérationnel"
"scripts/verify-identity-db.ts","opérations / migration","script opérationnel"
"scripts/verify-identity-storage.ts","opérations / migration","script opérationnel"
"scripts/verify-order-api.mjs","opérations / migration","script opérationnel"
"scripts/verify-order-idempotency.mjs","opérations / migration","script opérationnel"
"scripts/verify-quota-concurrency.mjs","opérations / migration","script opérationnel"
"scripts/with-test-env.mjs","opérations / migration","script opérationnel"
"src/app/(auth)/login/page.tsx","auth / partners / clients / deliveries","surface App Router"
"src/app/(auth)/register/page.tsx","auth / partners / clients / deliveries","surface App Router"
"src/app/(client)/client/client.tsx","clients","support / autre"
"src/app/(client)/client/login/page.tsx","clients","surface App Router"
"src/app/(client)/client/page.tsx","clients","surface App Router"
"src/app/(client)/client/register/page.tsx","clients","surface App Router"
"src/app/(client)/client/restaurant/[slug]/page.tsx","restaurants","surface App Router"
"src/app/(client)/commandes/[id]/page.tsx","orders","surface App Router"
"src/app/(client)/commandes/client.tsx","orders","support / autre"
"src/app/(client)/commandes/page.tsx","orders","surface App Router"
"src/app/(client)/layout.tsx","clients","surface App Router"
"src/app/(client)/panier/client.tsx","orders","support / autre"
"src/app/(client)/panier/confirmer/client.tsx","orders","support / autre"
"src/app/(client)/panier/confirmer/page.tsx","orders","surface App Router"
"src/app/(client)/panier/page.tsx","orders","surface App Router"
"src/app/(client)/profil/client.tsx","clients","support / autre"
"src/app/(client)/profil/page.tsx","clients","surface App Router"
"src/app/(client)/reservations/[id]/page.tsx","residences","surface App Router"
"src/app/(client)/reservations/client.tsx","residences","support / autre"
"src/app/(client)/reservations/page.tsx","residences","surface App Router"
"src/app/(dashboard)/admin/a-traiter/page.tsx","projection admin transverse","surface App Router"
"src/app/(dashboard)/admin/abonnements/page.tsx","subscriptions / quotas","surface App Router"
"src/app/(dashboard)/admin/audit/page.tsx","audit","surface App Router"
"src/app/(dashboard)/admin/commandes/[id]/page.tsx","orders","surface App Router"
"src/app/(dashboard)/admin/commandes/page.tsx","orders","surface App Router"
"src/app/(dashboard)/admin/commissions/page.tsx","commissions","surface App Router"
"src/app/(dashboard)/admin/error.tsx","projection admin transverse","surface App Router"
"src/app/(dashboard)/admin/layout.tsx","projection admin transverse","surface App Router"
"src/app/(dashboard)/admin/loading.tsx","projection admin transverse","surface App Router"
"src/app/(dashboard)/admin/page.tsx","projection admin transverse","surface App Router"
"src/app/(dashboard)/admin/parametres/page.tsx","projection admin transverse","surface App Router"
"src/app/(dashboard)/admin/residences/[id]/page.tsx","residences","surface App Router"
"src/app/(dashboard)/admin/residences/actions.ts","residences","Server Actions / actions legacy"
"src/app/(dashboard)/admin/residences/page.tsx","residences","surface App Router"
"src/app/(dashboard)/admin/restaurants/[id]/page.tsx","restaurants","surface App Router"
"src/app/(dashboard)/admin/restaurants/page.tsx","restaurants","surface App Router"
"src/app/(dashboard)/admin/support/page.tsx","projection admin transverse","surface App Router"
"src/app/(dashboard)/admin/users/actions.ts","admin-accounts / clients / partners","Server Actions / actions legacy"
"src/app/(dashboard)/admin/users/page.tsx","admin-accounts / clients / partners","surface App Router"
"src/app/(dashboard)/admin/verifications/[id]/page.tsx","identity","surface App Router"
"src/app/(dashboard)/admin/verifications/actions.ts","identity","Server Actions / actions legacy"
"src/app/(dashboard)/admin/verifications/page.tsx","identity","surface App Router"
"src/app/(dashboard)/admin/zones/page.tsx","service-markets","surface App Router"
"src/app/(dashboard)/partenaire/facturation/page.tsx","subscriptions / quotas","surface App Router"
"src/app/(dashboard)/partenaire/layout.tsx","partners / residences","surface App Router"
"src/app/(dashboard)/partenaire/onboarding/page.tsx","partners","surface App Router"
"src/app/(dashboard)/partenaire/page.tsx","partners / residences","surface App Router"
"src/app/(dashboard)/partenaire/reservations/actions.ts","residences","Server Actions / actions legacy"
"src/app/(dashboard)/partenaire/reservations/page.tsx","residences","surface App Router"
"src/app/(dashboard)/partenaire/residences/[id]/page.tsx","residences","surface App Router"
"src/app/(dashboard)/partenaire/residences/actions.ts","residences","Server Actions / actions legacy"
"src/app/(dashboard)/partenaire/residences/nouvelle/page.tsx","residences","surface App Router"
"src/app/(dashboard)/partenaire/residences/page.tsx","residences","surface App Router"
"src/app/(dashboard)/partenaire/verification/actions.test.ts","identity","test"
"src/app/(dashboard)/partenaire/verification/actions.ts","identity","Server Actions / actions legacy"
"src/app/(dashboard)/partenaire/verification/page.tsx","identity","surface App Router"
"src/app/(dashboard)/restaurateur/commandes/[id]/page.tsx","orders","surface App Router"
"src/app/(dashboard)/restaurateur/commandes/error.tsx","orders","surface App Router"
"src/app/(dashboard)/restaurateur/commandes/loading.tsx","orders","surface App Router"
"src/app/(dashboard)/restaurateur/commandes/page.tsx","orders","surface App Router"
"src/app/(dashboard)/restaurateur/facturation/page.tsx","subscriptions / quotas","surface App Router"
"src/app/(dashboard)/restaurateur/layout.tsx","restaurants","surface App Router"
"src/app/(dashboard)/restaurateur/livreurs/actions.ts","deliveries","Server Actions / actions legacy"
"src/app/(dashboard)/restaurateur/livreurs/page.tsx","deliveries","surface App Router"
"src/app/(dashboard)/restaurateur/loading.tsx","restaurants","surface App Router"
"src/app/(dashboard)/restaurateur/menu/[id]/menu-detail-client.tsx","menu","support / autre"
"src/app/(dashboard)/restaurateur/menu/[id]/page.tsx","menu","surface App Router"
"src/app/(dashboard)/restaurateur/menu/loading.tsx","menu","surface App Router"
"src/app/(dashboard)/restaurateur/menu/new/page.tsx","menu","surface App Router"
"src/app/(dashboard)/restaurateur/menu/page.tsx","menu","surface App Router"
"src/app/(dashboard)/restaurateur/notifications/page.tsx","notifications","surface App Router"
"src/app/(dashboard)/restaurateur/page.tsx","restaurants","surface App Router"
"src/app/(dashboard)/restaurateur/profil/page.tsx","clients","surface App Router"
"src/app/(public)/conditions-generales/page.tsx","presentation transverse / domaine de la route","surface App Router"
"src/app/(public)/confidentialite/page.tsx","presentation transverse / domaine de la route","surface App Router"
"src/app/(public)/cookies/page.tsx","presentation transverse / domaine de la route","surface App Router"
"src/app/(public)/mentions-legales/page.tsx","presentation transverse / domaine de la route","surface App Router"
"src/app/(public)/residences/[slug]/page.tsx","residences","surface App Router"
"src/app/(public)/residences/page.tsx","residences","surface App Router"
"src/app/(public)/restaurant/[slug]/error.tsx","restaurants","surface App Router"
"src/app/(public)/restaurant/[slug]/loading.tsx","restaurants","surface App Router"
"src/app/(public)/restaurant/[slug]/page.tsx","restaurants","surface App Router"
"src/app/api/admin/identity/documents/[id]/route.ts","identity","Route Handler"
"src/app/api/admin/restaurants/[id]/route.ts","restaurants","Route Handler"
"src/app/api/admin/restaurants/route.ts","restaurants","Route Handler"
"src/app/api/auth/login/route.ts","auth / partners / clients / deliveries","Route Handler"
"src/app/api/auth/logout/route.ts","auth / partners / clients / deliveries","Route Handler"
"src/app/api/auth/register/route.ts","auth / partners / clients / deliveries","Route Handler"
"src/app/api/commandes/[id]/statut/route.ts","orders","Route Handler"
"src/app/api/commandes/stream/route.ts","orders","Route Handler"
"src/app/api/cron/subscriptions/route.ts","subscriptions / quotas","Route Handler"
"src/app/api/geo/route.ts","service-markets","Route Handler"
"src/app/api/health/route.ts","infrastructure","Route Handler"
"src/app/api/media/upload/route.ts","media","Route Handler"
"src/app/api/notifications/count/route.ts","notifications","Route Handler"
"src/app/api/notifications/route.ts","notifications","Route Handler"
"src/app/api/partner/identity/documents/[id]/route.ts","identity","Route Handler"
"src/app/api/partner/identity/documents/route.ts","identity","Route Handler"
"src/app/api/payments/paystack/callback/route.ts","transactions","Route Handler"
"src/app/api/push/web/subscribe/route.ts","notifications","Route Handler"
"src/app/api/queues/identity-document-scan/route.ts","identity","Route Handler"
"src/app/api/restaurants/[id]/route.ts","restaurants","Route Handler"
"src/app/api/restaurateur/categories/route.ts","menu","Route Handler"
"src/app/api/restaurateur/plats/route.ts","menu","Route Handler"
"src/app/api/v1/auth/login/route.ts","auth / partners / clients / deliveries","Route Handler"
"src/app/api/v1/auth/logout/route.ts","auth / partners / clients / deliveries","Route Handler"
"src/app/api/v1/auth/refresh/route.ts","auth / partners / clients / deliveries","Route Handler"
"src/app/api/v1/client/auth/login/route.ts","clients","Route Handler"
"src/app/api/v1/client/auth/logout/route.ts","clients","Route Handler"
"src/app/api/v1/client/auth/me/route.ts","clients","Route Handler"
"src/app/api/v1/client/auth/refresh/route.ts","clients","Route Handler"
"src/app/api/v1/client/auth/register/route.ts","clients","Route Handler"
"src/app/api/v1/client/commandes/[id]/livraison/confirmation/route.ts","deliveries","Route Handler"
"src/app/api/v1/client/commandes/[id]/livraison/route.ts","deliveries","Route Handler"
"src/app/api/v1/client/commandes/[id]/paiement/route.ts","orders","Route Handler"
"src/app/api/v1/client/commandes/[id]/route.ts","orders","Route Handler"
"src/app/api/v1/client/commandes/[id]/stream/route.ts","orders","Route Handler"
"src/app/api/v1/client/commandes/order-error-response.ts","orders","support / autre"
"src/app/api/v1/client/commandes/prevalidate/route.ts","orders","Route Handler"
