"route","file","owner","kind","components","siblingLoading","siblingError"
"/login","src/app/(auth)/login/page.tsx","auth / partners / clients / deliveries","page","@/components/auth/auth-layout ; @/components/auth/login-visual-panel ; @/components/auth/restaurateur-login-form","false","false"
"/register","src/app/(auth)/register/page.tsx","auth / partners / clients / deliveries","page","@/components/auth/auth-layout ; @/components/auth/restaurateur-register-form","false","false"
"/client/login","src/app/(client)/client/login/page.tsx","clients","page","@/components/client-app/client-auth-shell ; @/components/client-app/client-login-form","false","false"
"/client","src/app/(client)/client/page.tsx","clients","page","","false","false"
"/client/register","src/app/(client)/client/register/page.tsx","clients","page","@/components/client-app/client-auth-shell ; @/components/client-app/client-register-form","false","false"
"/client/restaurant/[slug]","src/app/(client)/client/restaurant/[slug]/page.tsx","restaurants","page","@/components/client-app/panier-flottant ; @/components/motion/tabs ; @/components/ui/alert ; @/components/ui/badge ; @/components/ui/button ; @/components/ui/card ; @/components/ui/skeleton","false","false"
"/commandes/[id]","src/app/(client)/commandes/[id]/page.tsx","orders","page","@/components/client-app/client-delivery-panel ; @/components/ui/alert ; @/components/ui/alert-dialog ; @/components/ui/badge ; @/components/ui/button ; @/components/ui/separator ; @/components/ui/skeleton","false","false"
"/commandes","src/app/(client)/commandes/page.tsx","orders","page","","false","false"
"/","src/app/(client)/layout.tsx","clients","layout","","false","false"
"/panier/confirmer","src/app/(client)/panier/confirmer/page.tsx","orders","page","","false","false"
"/panier","src/app/(client)/panier/page.tsx","orders","page","","false","false"
"/profil","src/app/(client)/profil/page.tsx","clients","page","","false","false"
"/reservations/[id]","src/app/(client)/reservations/[id]/page.tsx","residences","page","@/components/ui/alert ; @/components/ui/badge ; @/components/ui/button ; @/components/ui/separator ; @/components/ui/skeleton ; @/modules/residences/presentation","false","false"
"/reservations","src/app/(client)/reservations/page.tsx","residences","page","","false","false"
"/admin/a-traiter","src/app/(dashboard)/admin/a-traiter/page.tsx","projection admin transverse","page","@/components/admin/ui/admin-page ; @/components/admin/ui/empty-state ; @/components/admin/ui/page-header ; @/components/admin/ui/status-badge ; @/components/ui/card","false","false"
"/admin/abonnements","src/app/(dashboard)/admin/abonnements/page.tsx","subscriptions / quotas","page","@/components/admin/abonnements/abonnes-table ; @/components/admin/abonnements/subscription-history-table ; @/components/admin/admin-subscription-requests-table ; @/components/admin/ui/admin-page ; @/components/admin/ui/page-header ; @/components/admin/ui/stat-card ; @/components/admin/ui/status-badge ; @/components/motion/tabs ; @/components/ui/card","false","false"
"/admin/audit","src/app/(dashboard)/admin/audit/page.tsx","audit","page","@/components/admin/audit-admin-filters ; @/components/admin/audit-admin-table ; @/components/admin/ui/admin-page ; @/components/admin/ui/page-header ; @/components/ui/button","false","false"
"/admin/commandes/[id]","src/app/(dashboard)/admin/commandes/[id]/page.tsx","orders","page","@/components/admin/commande-items-admin-table ; @/components/admin/ui/admin-page ; @/components/admin/ui/status-badge ; @/components/ui/button","false","false"
"/admin/commandes","src/app/(dashboard)/admin/commandes/page.tsx","orders","page","","false","false"
"/admin/commissions","src/app/(dashboard)/admin/commissions/page.tsx","commissions","page","@/components/admin/commissions-admin-filters ; @/components/admin/commissions-admin-tables ; @/components/admin/ui/admin-page ; @/components/admin/ui/page-header ; @/components/admin/ui/stat-card ; @/components/ui/button","false","false"
"/admin","src/app/(dashboard)/admin/error.tsx","projection admin transverse","error","@/components/ui/button","true","true"
"/admin","src/app/(dashboard)/admin/layout.tsx","projection admin transverse","layout","@/components/admin/admin-navbar ; @/components/admin/admin-sidebar","true","true"
"/admin","src/app/(dashboard)/admin/loading.tsx","projection admin transverse","loading","@/components/motion/loader ; @/components/ui/skeleton","true","true"
"/admin","src/app/(dashboard)/admin/page.tsx","projection admin transverse","page","@/components/admin/ui/admin-page ; @/components/admin/ui/page-header ; @/components/motion/animated-number","true","true"
"/admin/parametres","src/app/(dashboard)/admin/parametres/page.tsx","projection admin transverse","page","@/components/admin/abonnements/catalogue-editor ; @/components/admin/abonnements/discovery-performance ; @/components/admin/commission-policy-form ; @/components/admin/ui/admin-page ; @/components/admin/ui/page-header","false","false"
"/admin/residences/[id]","src/app/(dashboard)/admin/residences/[id]/page.tsx","residences","page","@/components/admin/paystack-provider-account-card ; @/components/admin/residence-review-panel ; @/components/admin/ui/admin-page ; @/components/ui/button ; @/components/ui/card ; @/modules/residences/presentation/residence-publication-status ; @/modules/residences/presentation/residence-status-badge","false","false"
"/admin/residences","src/app/(dashboard)/admin/residences/page.tsx","residences","page","@/components/admin/ui/admin-page ; @/components/admin/ui/page-header ; @/components/ui/button ; @/components/ui/input ; @/modules/residences/presentation/residence-status-badge","false","false"
"/admin/restaurants/[id]","src/app/(dashboard)/admin/restaurants/[id]/page.tsx","restaurants","page","@/components/admin/paystack-provider-account-card ; @/components/admin/restaurant-detail-admin","false","false"
"/admin/restaurants","src/app/(dashboard)/admin/restaurants/page.tsx","restaurants","page","@/components/admin/restaurants-admin-table ; @/components/admin/ui/admin-page ; @/components/admin/ui/page-header","false","false"
"/admin/support","src/app/(dashboard)/admin/support/page.tsx","projection admin transverse","page","@/components/admin/commandes-admin-filters ; @/components/admin/commandes-admin-table ; @/components/admin/ui/admin-page ; @/components/admin/ui/empty-state ; @/components/admin/ui/page-header ; @/components/admin/ui/status-badge ; @/components/ui/button ; @/components/ui/card","false","false"
"/admin/users","src/app/(dashboard)/admin/users/page.tsx","admin-accounts / clients / partners","page","@/components/admin/admin-accounts-manager ; @/components/admin/ui/admin-page ; @/components/admin/ui/page-header ; @/components/admin/users-admin-table","false","false"
"/admin/verifications/[id]","src/app/(dashboard)/admin/verifications/[id]/page.tsx","identity","page","@/components/admin/identity-review-panel ; @/components/admin/ui/admin-page ; @/components/ui/button ; @/components/ui/card ; @/modules/identity/presentation/identity-status-badge","false","false"
"/admin/verifications","src/app/(dashboard)/admin/verifications/page.tsx","identity","page","@/components/admin/ui/admin-page ; @/components/admin/ui/page-header ; @/components/ui/button ; @/components/ui/input ; @/modules/identity/presentation/identity-status-badge","false","false"
"/admin/zones","src/app/(dashboard)/admin/zones/page.tsx","service-markets","page","@/components/admin/service-market-admin ; @/components/admin/ui/admin-page ; @/components/admin/ui/page-header","false","false"
"/partenaire/facturation","src/app/(dashboard)/partenaire/facturation/page.tsx","subscriptions / quotas","page","@/components/restaurateur/restaurateur-subscription-button ; @/components/restaurateur/resume-subscription-payment ; @/components/ui/badge ; @/components/ui/card","false","false"
"/partenaire","src/app/(dashboard)/partenaire/layout.tsx","partners / residences","layout","@/components/partner/partner-navigation","false","false"
"/partenaire/onboarding","src/app/(dashboard)/partenaire/onboarding/page.tsx","partners","page","@/components/residences/residence-onboarding-wizard","false","false"
"/partenaire","src/app/(dashboard)/partenaire/page.tsx","partners / residences","page","","false","false"
"/partenaire/reservations","src/app/(dashboard)/partenaire/reservations/page.tsx","residences","page","@/components/partner/partner-reservations-workspace","false","false"
"/partenaire/residences/[id]","src/app/(dashboard)/partenaire/residences/[id]/page.tsx","residences","page","@/components/residences/residence-form ; @/components/ui/button ; @/modules/residences/presentation/residence-status-badge","false","false"
"/partenaire/residences/nouvelle","src/app/(dashboard)/partenaire/residences/nouvelle/page.tsx","residences","page","@/components/residences/residence-form ; @/components/ui/button","false","false"
"/partenaire/residences","src/app/(dashboard)/partenaire/residences/page.tsx","residences","page","@/components/residences/residence-publication-controls ; @/components/ui/alert ; @/components/ui/button ; @/components/ui/card ; @/modules/residences/presentation/residence-publication-status ; @/modules/residences/presentation/residence-status-badge","false","false"
"/partenaire/verification","src/app/(dashboard)/partenaire/verification/page.tsx","identity","page","@/components/identity/identity-verification-form","false","false"
