"sqlName","symbol","owner","reads","writes","references"
"users","users","auth / admin-accounts","src/app/(dashboard)/admin/abonnements/page.tsx ; src/app/api/auth/login/route.ts ; src/app/api/auth/register/route.ts ; src/app/api/cron/subscriptions/route.ts ; src/app/api/v1/auth/login/route.ts ; src/app/api/v1/auth/refresh/route.ts ; src/lib/api/auth-admin.ts ; src/lib/api/auth-mobile.ts ; src/lib/auth/get-admin-session.ts ; src/lib/auth/index.ts ; src/lib/db/queries-admin.ts ; src/lib/db/queries.ts ; src/modules/admin-accounts/_internal/persistence.ts ; src/modules/identity/_internal/persistence.ts ; src/modules/residences/_internal/persistence.ts ; src/modules/transactions/payment-service.ts","src/app/api/auth/register/route.ts ; src/lib/db/mutations-admin.ts ; src/lib/db/mutations.ts ; src/lib/db/seed.ts ; src/modules/admin-accounts/_internal/persistence.ts","src/lib/db/types.ts"
"partner_accounts","partnerAccounts","partners","src/app/(dashboard)/admin/abonnements/page.tsx ; src/app/api/auth/login/route.ts ; src/app/api/commandes/stream/route.ts ; src/app/api/cron/subscriptions/route.ts ; src/lib/api/auth-mobile.ts ; src/lib/auth/partner-account.ts ; src/lib/commissions/ledger.ts ; src/lib/db/mutations-admin.ts ; src/lib/db/mutations.ts ; src/lib/db/queries-admin.ts ; src/lib/db/queries.ts ; src/modules/identity/_internal/persistence.ts ; src/modules/partners/_internal/persistence.ts ; src/modules/residences/_internal/persistence.ts ; src/modules/residences/payment-lifecycle.ts ; src/modules/residences/server.ts ; src/modules/subscriptions/server.ts ; src/modules/transactions/payment-service.ts","src/lib/db/seed.ts ; src/modules/partners/_internal/persistence.ts","src/lib/actions/admin-subscriptions.ts ; src/lib/db/types.ts ; src/lib/orders/restaurant-order.ts"
"partner_identity_verifications","partnerIdentityVerifications","identity","src/modules/identity/_internal/persistence.ts ; src/modules/identity/server.ts","src/modules/identity/_internal/persistence.ts ; src/modules/identity/server.ts",""
"partner_identity_documents","partnerIdentityDocuments","identity","src/modules/identity/_internal/persistence.ts","src/modules/identity/_internal/persistence.ts",""
"payment_provider_accounts","paymentProviderAccounts","transactions","src/lib/orders/restaurant-order.ts ; src/modules/transactions/payment-service.ts ; src/modules/transactions/provider-accounts.ts ; src/modules/transactions/server.ts","src/modules/transactions/provider-accounts.ts",""
"geo_source_areas","geoSourceAreas","service-markets","src/modules/service-markets/_internal/administration.ts","",""
"service_markets","serviceMarkets","service-markets","src/modules/service-markets/_internal/administration.ts","src/modules/service-markets/_internal/administration.ts",""
"service_market_versions","serviceMarketVersions","service-markets","src/modules/service-markets/_internal/administration.ts","src/modules/service-markets/_internal/administration.ts",""
"service_market_capabilities","serviceMarketCapabilities","service-markets","src/modules/service-markets/_internal/administration.ts","src/modules/service-markets/_internal/administration.ts",""
"service_market_version_areas","serviceMarketVersionAreas","service-markets","src/modules/service-markets/_internal/administration.ts","src/modules/service-markets/_internal/administration.ts",""
